shipping_id,order_id,shipping_location_id,courier_partner,shipping_date,expected_delivery_date,actual_delivery_date,delivery_status
150035,50035,83,Ecom Express,2026-04-13,2026-04-20,2026-04-22,Delivered
150036,50036,61,XpressBees,2024-01-09,2024-01-11,2024-01-11,Delivered
150037,50037,37,Ecom Express,2026-03-13,2026-03-13,,Delayed
150038,50038,64,Delhivery,2024-08-30,2024-09-04,,In Transit
150039,50039,53,Delhivery,2024-12-08,2024-12-14,2024-12-17,Delivered
150040,50040,85,XpressBees,2024-05-29,2024-06-02,,In Transit
150041,50041,88,DTDC,2024-01-13,2024-01-16,2024-01-17,Delivered
150042,50042,10,DTDC,2024-04-28,2024-05-03,2024-05-03,Delivered
150043,50043,92,Ecom Express,2024-08-07,2024-08-12,2024-08-13,Delivered
150044,50044,45,XpressBees,2025-01-11,2025-01-15,2025-01-14,Delivered
150045,50045,58,XpressBees,2024-11-01,2024-11-01,2024-11-04,Delivered
150046,50046,68,Delhivery,2024-04-13,2024-04-18,2024-04-18,Delivered
150047,50047,61,Ecom Express,2024-11-25,2024-11-28,,Returned
150048,50048,90,XpressBees,2024-06-01,2024-06-05,,Returned
150049,50049,10,Ecom Express,2025-10-27,2025-11-02,2025-11-03,Delivered
150050,50050,73,Delhivery,2025-10-10,2025-10-15,,In Transit
150051,50051,31,Delhivery,2024-03-01,2024-03-09,2024-03-11,Delivered
150052,50052,78,DTDC,2025-09-24,2025-09-27,2025-09-27,Delivered
150053,50053,24,Delhivery,2026-06-01,2026-06-08,2026-06-10,Delivered
150054,50054,16,DTDC,2026-07-06,2026-07-09,,In Transit
150055,50055,43,Ecom Express,2024-02-24,2024-03-02,2024-03-04,Delivered
150056,50056,79,Delhivery,2026-06-14,2026-06-17,2026-06-19,Delivered
150057,50057,88,DTDC,2025-01-31,2025-02-06,2025-02-05,Delivered
150058,50058,94,Delhivery,2026-04-28,2026-04-30,2026-04-29,Delivered
150059,50059,96,XpressBees,2024-07-17,2024-07-24,2024-07-26,Delivered
150060,50060,56,Ecom Express,2025-11-02,2025-11-05,2025-11-05,Delivered
150061,50061,8,DTDC,2026-02-17,2026-02-23,,Delayed
150062,50062,38,XpressBees,2024-09-17,2024-09-22,,Returned
150063,50063,26,Delhivery,2025-12-18,2025-12-21,2025-12-24,Delivered
150064,50064,12,Delhivery,2024-06-21,2024-06-26,2024-06-29,Delivered
150065,50065,47,BlueDart,2025-11-19,2025-11-25,2025-11-27,Delivered
150066,50066,47,DTDC,2026-07-11,2026-07-12,,In Transit
150067,50067,73,XpressBees,2024-10-20,2024-10-24,2024-10-23,Delivered
150068,50068,33,XpressBees,2026-07-21,2026-07-25,,In Transit
150069,50069,82,BlueDart,2025-10-09,2025-10-12,2025-10-11,Delivered
150070,50070,6,DTDC,2025-05-07,2025-05-12,2025-05-11,Delivered
150071,50071,97,BlueDart,2024-11-15,2024-11-17,2024-11-18,Delivered
150072,50072,44,Ecom Express,2025-06-17,2025-06-22,,In Transit
150073,50073,9,Delhivery,2026-08-12,2026-08-15,2026-08-14,Delivered
150074,50074,73,Delhivery,2024-01-07,2024-01-14,2024-01-13,Delivered
150075,50075,57,Ecom Express,2026-04-23,2026-04-27,2026-04-30,Delivered
150076,50076,73,Ecom Express,2024-05-25,2024-05-28,2024-05-29,Delivered
150077,50077,50,BlueDart,2026-05-01,2026-05-06,2026-05-05,Delivered
150078,50078,25,BlueDart,2025-06-16,2025-06-21,2025-06-23,Delivered
150079,50079,25,XpressBees,2026-05-22,2026-05-26,2026-05-28,Delivered
150080,50080,9,XpressBees,2024-06-25,2024-06-28,2024-06-28,Delivered
150081,50081,54,Ecom Express,2024-02-19,2024-02-19,2024-02-21,Delivered
150082,50082,67,DTDC,2025-04-12,2025-04-14,2025-04-17,Delivered
150083,50083,17,Delhivery,2026-01-26,2026-01-30,2026-01-31,Delivered
150084,50084,50,BlueDart,2026-02-12,2026-02-17,2026-02-18,Delivered
150085,50085,21,BlueDart,2026-01-11,2026-01-18,2026-01-17,Delivered
150086,50086,55,XpressBees,2026-02-18,2026-02-22,2026-02-21,Delivered
150087,50087,93,Ecom Express,2026-01-24,2026-01-26,2026-01-29,Delivered
150088,50088,87,BlueDart,2026-04-16,2026-04-21,,Returned
150089,50089,91,XpressBees,2024-06-17,2024-06-20,2024-06-21,Delivered
150090,50090,36,Delhivery,2024-08-19,2024-08-24,2024-08-27,Delivered
150091,50091,29,BlueDart,2024-01-07,2024-01-09,2024-01-09,Delivered
150092,50092,95,XpressBees,2025-02-25,2025-03-02,2025-03-05,Delivered
150093,50093,8,XpressBees,2024-09-12,2024-09-17,2024-09-20,Delivered
150094,50094,42,Delhivery,2025-09-03,2025-09-05,,In Transit
150095,50095,47,BlueDart,2025-06-20,2025-06-28,2025-06-28,Delivered
150096,50096,62,DTDC,2025-07-17,2025-07-25,2025-07-28,Delivered
150097,50097,85,DTDC,2025-10-01,2025-10-05,2025-10-04,Delivered
150098,50098,59,XpressBees,2026-08-27,2026-09-03,2026-09-02,Delivered
150099,50099,79,BlueDart,2024-04-13,2024-04-20,2024-04-19,Delivered
150100,50100,81,BlueDart,2024-09-26,2024-09-30,2024-09-30,Delivered
150101,50101,65,BlueDart,2025-02-09,2025-02-16,2025-02-18,Delivered
150102,50102,62,DTDC,2024-03-13,2024-03-14,2024-03-14,Delivered
150103,50103,87,BlueDart,2026-03-06,2026-03-09,2026-03-08,Delivered
150104,50104,72,XpressBees,2025-01-12,2025-01-14,,In Transit
150105,50105,37,XpressBees,2024-06-13,2024-06-17,2024-06-16,Delivered
150106,50106,31,Delhivery,2025-05-17,2025-05-20,2025-05-20,Delivered
150107,50107,28,XpressBees,2024-07-08,2024-07-08,2024-07-09,Delivered
150108,50108,9,XpressBees,2025-01-11,2025-01-15,2025-01-16,Delivered
150109,50109,21,BlueDart,2025-09-17,2025-09-23,2025-09-22,Delivered
150110,50110,60,Delhivery,2024-11-08,2024-11-08,2024-11-09,Delivered
150111,50111,61,BlueDart,2026-03-19,2026-03-21,2026-03-22,Delivered
150112,50112,12,BlueDart,2024-09-07,2024-09-13,2024-09-16,Delivered
150113,50113,77,BlueDart,2024-04-21,2024-04-24,2024-04-25,Delivered
150114,50114,88,DTDC,2025-02-21,2025-02-24,2025-02-23,Delivered
150115,50115,94,Ecom Express,2024-07-06,2024-07-10,2024-07-11,Delivered
150116,50116,31,BlueDart,2025-10-31,2025-11-07,2025-11-06,Delivered
150117,50117,82,Ecom Express,2025-05-24,2025-05-30,2025-05-31,Delivered
150118,50118,12,DTDC,2024-05-26,2024-05-30,,Delayed
150119,50119,32,Delhivery,2024-11-25,2024-11-30,2024-12-03,Delivered
150120,50120,91,DTDC,2026-04-22,2026-04-27,2026-04-29,Delivered
150121,50121,75,Delhivery,2026-03-08,2026-03-09,2026-03-11,Delivered
150122,50122,45,Delhivery,2025-09-13,2025-09-16,2025-09-16,Delivered
150123,50123,97,BlueDart,2026-05-27,2026-05-31,2026-06-01,Delivered
150124,50124,28,DTDC,2024-04-16,2024-04-18,2024-04-19,Delivered
150125,50125,6,BlueDart,2025-12-13,2025-12-17,2025-12-16,Delivered
150126,50126,96,Ecom Express,2024-01-25,2024-01-31,2024-02-01,Delivered
150127,50127,85,DTDC,2025-08-04,2025-08-07,2025-08-07,Delivered
150128,50128,29,DTDC,2024-02-22,2024-02-27,,Returned
150129,50129,73,Ecom Express,2024-11-30,2024-12-03,2024-12-06,Delivered
150130,50130,69,Ecom Express,2024-03-31,2024-04-01,,Returned
150131,50131,77,XpressBees,2024-09-04,2024-09-11,2024-09-12,Delivered
150132,50132,57,XpressBees,2025-09-16,2025-09-20,2025-09-22,Delivered
150133,50133,100,Ecom Express,2026-01-28,2026-02-03,2026-02-04,Delivered
150134,50134,15,XpressBees,2026-07-02,2026-07-09,,In Transit
150135,50135,91,BlueDart,2026-08-17,2026-08-23,,Returned
150136,50136,59,DTDC,2024-05-10,2024-05-13,2024-05-14,Delivered
150137,50137,74,XpressBees,2026-06-12,2026-06-16,2026-06-19,Delivered
150138,50138,71,DTDC,2024-10-02,2024-10-05,2024-10-06,Delivered
150139,50139,38,XpressBees,2026-05-08,2026-05-11,2026-05-13,Delivered
150140,50140,37,Delhivery,2026-04-19,2026-04-26,2026-04-29,Delivered
150141,50141,68,Ecom Express,2026-06-13,2026-06-13,2026-06-16,Delivered
150142,50142,76,XpressBees,2025-05-05,2025-05-10,2025-05-09,Delivered
150143,50143,6,BlueDart,2025-12-28,2026-01-03,2026-01-04,Delivered
150144,50144,58,BlueDart,2025-02-19,2025-02-23,2025-02-26,Delivered
150145,50145,58,Ecom Express,2024-03-19,2024-03-21,2024-03-22,Delivered
150146,50146,16,XpressBees,2025-04-07,2025-04-07,,Returned
150147,50147,42,DTDC,2024-07-15,2024-07-18,,In Transit
150148,50148,54,XpressBees,2024-04-10,2024-04-12,2024-04-11,Delivered
150149,50149,95,Ecom Express,2024-05-11,2024-05-15,2024-05-18,Delivered
150150,50150,31,DTDC,2024-08-03,2024-08-09,2024-08-09,Delivered
150151,50151,5,BlueDart,2026-02-12,2026-02-17,2026-02-18,Delivered
150152,50152,48,BlueDart,2026-07-22,2026-07-27,2026-07-28,Delivered
150153,50153,42,BlueDart,2026-04-05,2026-04-12,2026-04-12,Delivered
150154,50154,45,XpressBees,2025-09-19,2025-09-19,2025-09-18,Delivered
150155,50155,44,DTDC,2026-05-07,2026-05-09,2026-05-08,Delivered
150156,50156,67,Ecom Express,2024-10-04,2024-10-11,2024-10-11,Delivered
150157,50157,64,Delhivery,2026-05-31,2026-06-03,2026-06-05,Delivered
150158,50158,46,XpressBees,2026-07-10,2026-07-10,2026-07-12,Delivered
150159,50159,20,Delhivery,2024-05-24,2024-05-31,,In Transit
150160,50160,46,Delhivery,2025-01-23,2025-01-28,2025-01-27,Delivered
150161,50161,9,Delhivery,2024-09-29,2024-10-03,2024-10-06,Delivered
150162,50162,34,Delhivery,2024-05-19,2024-05-24,2024-05-26,Delivered
150163,50163,16,BlueDart,2024-06-16,2024-06-19,2024-06-19,Delivered
150164,50164,8,Delhivery,2026-07-28,2026-07-28,,In Transit
150165,50165,77,Ecom Express,2024-06-25,2024-07-02,,In Transit
150166,50166,70,BlueDart,2025-10-09,2025-10-11,2025-10-12,Delivered
150167,50167,100,Delhivery,2026-04-28,2026-05-04,2026-05-03,Delivered
150168,50168,51,BlueDart,2026-01-01,2026-01-06,2026-01-06,Delivered
150169,50169,27,DTDC,2025-03-16,2025-03-20,,Delayed
150170,50170,62,DTDC,2024-01-24,2024-01-25,2024-01-24,Delivered
150171,50171,59,DTDC,2025-02-12,2025-02-15,2025-02-18,Delivered
150172,50172,26,DTDC,2024-10-01,2024-10-05,2024-10-04,Delivered
150173,50173,92,DTDC,2026-04-20,2026-04-22,2026-04-24,Delivered
150174,50174,6,Ecom Express,2026-07-07,2026-07-11,2026-07-10,Delivered
150175,50175,79,BlueDart,2024-08-15,2024-08-21,2024-08-20,Delivered
150176,50176,54,XpressBees,2024-06-01,2024-06-07,,In Transit
150177,50177,5,XpressBees,2026-03-08,2026-03-13,2026-03-14,Delivered
150178,50178,63,Ecom Express,2026-04-28,2026-05-04,,In Transit
150179,50179,36,XpressBees,2026-08-11,2026-08-15,2026-08-15,Delivered
150180,50180,91,BlueDart,2026-01-17,2026-01-20,2026-01-20,Delivered
150181,50181,20,Ecom Express,2025-03-28,2025-03-29,2025-03-29,Delivered
150182,50182,3,XpressBees,2025-01-04,2025-01-05,2025-01-05,Delivered
150183,50183,47,DTDC,2024-02-28,2024-03-06,2024-03-08,Delivered
150184,50184,17,BlueDart,2026-05-10,2026-05-18,2026-05-18,Delivered
150185,50185,68,DTDC,2026-08-23,2026-08-25,,In Transit
150186,50186,19,Ecom Express,2026-06-15,2026-06-21,2026-06-20,Delivered
150187,50187,56,XpressBees,2025-07-10,2025-07-13,2025-07-13,Delivered
150188,50188,91,Delhivery,2026-04-20,2026-04-23,2026-04-25,Delivered
150189,50189,15,Ecom Express,2024-01-06,2024-01-08,2024-01-10,Delivered
150190,50190,12,Delhivery,2025-01-31,2025-02-06,2025-02-05,Delivered
150191,50191,46,Ecom Express,2024-04-15,2024-04-20,2024-04-23,Delivered
150192,50192,59,Delhivery,2025-07-26,2025-07-29,2025-07-29,Delivered
150193,50193,93,BlueDart,2024-01-03,2024-01-10,2024-01-11,Delivered
150194,50194,3,XpressBees,2024-10-23,2024-10-27,2024-10-28,Delivered
150195,50195,9,DTDC,2025-02-12,2025-02-15,2025-02-14,Delivered
150196,50196,73,Ecom Express,2024-05-07,2024-05-10,,In Transit
150197,50197,98,XpressBees,2024-03-24,2024-03-31,2024-03-31,Delivered
150198,50198,34,DTDC,2026-05-27,2026-05-29,2026-05-28,Delivered
150199,50199,87,XpressBees,2024-09-23,2024-09-27,,In Transit
150200,50200,63,Delhivery,2026-08-09,2026-08-16,,Delayed
150201,50201,59,XpressBees,2024-12-25,2025-01-01,,In Transit
150202,50202,14,Delhivery,2024-02-28,2024-03-02,2024-03-02,Delivered
150203,50203,27,DTDC,2024-04-13,2024-04-18,,Returned
150204,50204,80,XpressBees,2025-10-29,2025-11-05,2025-11-05,Delivered
150205,50205,74,DTDC,2024-01-15,2024-01-19,2024-01-19,Delivered
150206,50206,62,DTDC,2026-07-09,2026-07-12,2026-07-15,Delivered
150207,50207,42,Delhivery,2024-09-04,2024-09-12,2024-09-14,Delivered
150208,50208,46,Ecom Express,2025-08-15,2025-08-20,2025-08-23,Delivered
150209,50209,75,DTDC,2025-03-08,2025-03-13,2025-03-13,Delivered
150210,50210,9,BlueDart,2024-02-18,2024-02-20,2024-02-19,Delivered
150211,50211,14,DTDC,2025-11-15,2025-11-16,2025-11-16,Delivered
150212,50212,6,BlueDart,2024-01-16,2024-01-21,2024-01-24,Delivered
150213,50213,66,BlueDart,2026-02-14,2026-02-17,2026-02-18,Delivered
150214,50214,37,XpressBees,2025-05-03,2025-05-10,,Delayed
150215,50215,13,DTDC,2024-10-22,2024-10-26,2024-10-29,Delivered
150216,50216,12,DTDC,2026-07-03,2026-07-06,2026-07-05,Delivered
150217,50217,75,BlueDart,2024-07-18,2024-07-21,2024-07-22,Delivered
150218,50218,9,Ecom Express,2024-09-27,2024-10-05,,Delayed
150219,50219,12,XpressBees,2025-09-20,2025-09-25,,In Transit
150220,50220,9,DTDC,2024-12-06,2024-12-13,2024-12-14,Delivered
150221,50221,59,BlueDart,2025-04-19,2025-04-22,2025-04-21,Delivered
150222,50222,35,BlueDart,2026-02-11,2026-02-15,2026-02-16,Delivered
150223,50223,93,Delhivery,2026-06-05,2026-06-08,2026-06-09,Delivered
150224,50224,52,Delhivery,2026-02-17,2026-02-23,2026-02-26,Delivered
150225,50225,22,DTDC,2024-03-19,2024-03-23,2024-03-23,Delivered
150226,50226,75,XpressBees,2026-07-05,2026-07-09,2026-07-10,Delivered
150227,50227,91,DTDC,2025-02-14,2025-02-16,,Returned
150228,50228,72,XpressBees,2026-03-24,2026-03-30,2026-03-29,Delivered
150229,50229,97,BlueDart,2024-10-06,2024-10-10,2024-10-13,Delivered
150230,50230,86,BlueDart,2025-08-01,2025-08-06,2025-08-08,Delivered
150231,50231,56,XpressBees,2026-07-24,2026-07-29,2026-07-31,Delivered
150232,50232,83,DTDC,2026-07-01,2026-07-04,2026-07-04,Delivered
150233,50233,36,XpressBees,2025-09-29,2025-10-01,,In Transit
150234,50234,51,Delhivery,2025-08-21,2025-08-21,2025-08-24,Delivered
150235,50235,64,BlueDart,2024-01-29,2024-02-04,2024-02-03,Delivered
150236,50236,82,XpressBees,2025-08-08,2025-08-09,,Delayed
150237,50237,91,BlueDart,2025-02-13,2025-02-15,,Delayed
150238,50238,83,DTDC,2024-01-18,2024-01-24,2024-01-26,Delivered
150239,50239,50,DTDC,2026-07-08,2026-07-10,2026-07-09,Delivered
150240,50240,94,Ecom Express,2025-03-19,2025-03-20,2025-03-19,Delivered
150241,50241,7,XpressBees,2026-01-17,2026-01-19,2026-01-21,Delivered
150242,50242,36,DTDC,2024-02-12,2024-02-16,2024-02-19,Delivered
150243,50243,73,Delhivery,2024-08-28,2024-08-29,,Returned
150244,50244,89,DTDC,2026-05-22,2026-05-26,,Returned
150245,50245,43,Delhivery,2026-06-28,2026-07-02,2026-07-02,Delivered
150246,50246,69,DTDC,2024-01-12,2024-01-15,2024-01-18,Delivered
150247,50247,46,DTDC,2026-05-15,2026-05-20,2026-05-23,Delivered
150248,50248,87,XpressBees,2024-10-26,2024-10-27,2024-10-28,Delivered
150249,50249,11,DTDC,2024-07-31,2024-07-31,,In Transit
150250,50250,15,Ecom Express,2026-08-24,2026-08-28,2026-08-31,Delivered
150251,50251,86,Ecom Express,2025-06-04,2025-06-10,2025-06-12,Delivered
150252,50252,86,XpressBees,2026-02-10,2026-02-16,2026-02-19,Delivered
150253,50253,70,BlueDart,2024-05-14,2024-05-19,2024-05-18,Delivered
150254,50254,1,XpressBees,2026-01-05,2026-01-08,,In Transit
150255,50255,37,Delhivery,2024-12-24,2024-12-27,2024-12-30,Delivered
150256,50256,28,Delhivery,2025-11-22,2025-11-27,2025-11-28,Delivered
150257,50257,45,Ecom Express,2025-09-29,2025-10-06,,In Transit
150258,50258,70,BlueDart,2024-02-20,2024-02-27,,In Transit
150259,50259,33,DTDC,2026-05-01,2026-05-05,2026-05-08,Delivered
150260,50260,76,BlueDart,2024-10-08,2024-10-11,2024-10-12,Delivered
150261,50261,84,XpressBees,2024-12-21,2024-12-24,2024-12-25,Delivered
150262,50262,29,BlueDart,2026-02-16,2026-02-16,,Delayed
150263,50263,14,DTDC,2026-05-01,2026-05-07,2026-05-07,Delivered
150264,50264,93,Ecom Express,2026-05-20,2026-05-26,2026-05-28,Delivered
150265,50265,61,BlueDart,2025-03-17,2025-03-25,2025-03-24,Delivered
150266,50266,14,DTDC,2024-12-06,2024-12-11,2024-12-14,Delivered
150267,50267,93,Ecom Express,2026-03-08,2026-03-11,2026-03-10,Delivered
150268,50268,62,Ecom Express,2024-09-11,2024-09-16,,Returned
150269,50269,59,Delhivery,2025-09-15,2025-09-21,2025-09-23,Delivered
150270,50270,1,DTDC,2024-08-16,2024-08-19,2024-08-20,Delivered
150271,50271,24,BlueDart,2024-07-25,2024-07-25,,In Transit
150272,50272,24,BlueDart,2025-06-17,2025-06-18,2025-06-18,Delivered
150273,50273,31,XpressBees,2026-04-19,2026-04-22,,In Transit
150274,50274,94,BlueDart,2024-10-09,2024-10-14,2024-10-16,Delivered
150275,50275,62,BlueDart,2025-12-05,2025-12-11,2025-12-12,Delivered
150276,50276,97,BlueDart,2024-01-21,2024-01-27,2024-01-27,Delivered
150277,50277,20,BlueDart,2025-11-08,2025-11-12,,Delayed
150278,50278,95,XpressBees,2025-01-16,2025-01-20,,Delayed
150279,50279,53,BlueDart,2024-03-16,2024-03-20,2024-03-20,Delivered
150280,50280,32,Ecom Express,2025-06-24,2025-06-26,2025-06-29,Delivered
150281,50281,35,Delhivery,2024-08-23,2024-08-23,2024-08-22,Delivered
150282,50282,73,Delhivery,2025-09-07,2025-09-12,2025-09-12,Delivered
150283,50283,13,XpressBees,2024-02-12,2024-02-18,,Delayed
150284,50284,100,Ecom Express,2024-11-29,2024-12-01,,In Transit
150285,50285,53,DTDC,2024-08-19,2024-08-19,2024-08-19,Delivered
150286,50286,23,BlueDart,2024-10-31,2024-11-05,2024-11-04,Delivered
150287,50287,79,Delhivery,2024-01-10,2024-01-15,2024-01-17,Delivered
150288,50288,76,Delhivery,2024-10-03,2024-10-09,,In Transit
150289,50289,93,DTDC,2024-03-26,2024-04-02,2024-04-01,Delivered
150290,50290,36,BlueDart,2025-08-29,2025-09-04,2025-09-05,Delivered
150291,50291,52,DTDC,2025-03-24,2025-03-26,2025-03-25,Delivered
150292,50292,13,DTDC,2024-10-05,2024-10-05,2024-10-05,Delivered
150293,50293,57,Delhivery,2025-08-20,2025-08-27,2025-08-30,Delivered
150294,50294,59,BlueDart,2026-06-08,2026-06-13,2026-06-15,Delivered
150295,50295,67,DTDC,2025-06-09,2025-06-17,2025-06-17,Delivered
150296,50296,88,Ecom Express,2024-09-30,2024-10-03,2024-10-06,Delivered
150297,50297,21,XpressBees,2025-01-28,2025-01-30,2025-01-29,Delivered
150298,50298,85,BlueDart,2026-02-07,2026-02-10,2026-02-09,Delivered
150299,50299,12,Delhivery,2024-04-08,2024-04-13,,Returned
150300,50300,98,DTDC,2024-11-08,2024-11-12,2024-11-15,Delivered
150301,50301,34,Delhivery,2025-03-31,2025-04-07,2025-04-06,Delivered
150302,50302,38,BlueDart,2025-09-07,2025-09-14,2025-09-13,Delivered
150303,50303,64,BlueDart,2025-07-16,2025-07-19,2025-07-21,Delivered
150304,50304,38,Ecom Express,2025-11-10,2025-11-13,2025-11-16,Delivered
150305,50305,51,BlueDart,2026-07-01,2026-07-04,2026-07-04,Delivered
150306,50306,24,Ecom Express,2024-06-18,2024-06-21,2024-06-24,Delivered
150307,50307,62,DTDC,2025-04-13,2025-04-13,2025-04-13,Delivered
150308,50308,51,BlueDart,2025-01-04,2025-01-06,2025-01-07,Delivered
150309,50309,17,BlueDart,2024-03-29,2024-04-01,,Returned
150310,50310,72,Delhivery,2024-05-06,2024-05-10,2024-05-09,Delivered
150311,50311,98,Ecom Express,2025-09-03,2025-09-08,,In Transit
150312,50312,84,DTDC,2025-05-11,2025-05-15,2025-05-15,Delivered
150313,50313,41,BlueDart,2024-10-12,2024-10-17,2024-10-18,Delivered
150314,50314,80,DTDC,2026-06-02,2026-06-05,2026-06-07,Delivered
150315,50315,7,BlueDart,2024-10-28,2024-11-04,,Returned
150316,50316,51,BlueDart,2025-08-03,2025-08-05,2025-08-05,Delivered
150317,50317,68,DTDC,2026-08-19,2026-08-19,2026-08-20,Delivered
150318,50318,70,BlueDart,2025-11-11,2025-11-16,2025-11-19,Delivered
150319,50319,68,XpressBees,2025-12-10,2025-12-15,2025-12-15,Delivered
150320,50320,13,BlueDart,2024-10-04,2024-10-05,2024-10-08,Delivered
150321,50321,74,Ecom Express,2026-06-07,2026-06-09,,In Transit
150322,50322,97,BlueDart,2025-03-30,2025-04-03,2025-04-06,Delivered
150323,50323,36,BlueDart,2024-10-22,2024-10-25,2024-10-26,Delivered
150324,50324,62,XpressBees,2025-12-19,2025-12-25,2025-12-25,Delivered
150325,50325,29,BlueDart,2025-05-30,2025-06-06,2025-06-05,Delivered
150326,50326,22,DTDC,2024-05-08,2024-05-14,,In Transit
150327,50327,25,DTDC,2024-01-20,2024-01-28,,In Transit
150328,50328,5,Ecom Express,2024-05-01,2024-05-06,2024-05-07,Delivered
150329,50329,48,XpressBees,2024-06-03,2024-06-06,2024-06-05,Delivered
150330,50330,31,XpressBees,2024-08-05,2024-08-10,,In Transit
150331,50331,67,BlueDart,2024-12-01,2024-12-08,2024-12-08,Delivered
150332,50332,8,DTDC,2024-08-19,2024-08-20,2024-08-21,Delivered
150333,50333,42,DTDC,2026-05-27,2026-05-30,2026-05-29,Delivered
150334,50334,32,Ecom Express,2026-07-22,2026-07-28,2026-07-27,Delivered
150335,50335,27,Delhivery,2026-08-04,2026-08-07,2026-08-10,Delivered
150336,50336,54,DTDC,2024-06-02,2024-06-05,2024-06-04,Delivered
150337,50337,88,DTDC,2025-06-02,2025-06-09,2025-06-09,Delivered
150338,50338,15,DTDC,2024-04-12,2024-04-17,2024-04-16,Delivered
150339,50339,100,XpressBees,2025-11-19,2025-11-25,2025-11-26,Delivered
150340,50340,75,Delhivery,2024-05-14,2024-05-19,,In Transit
150341,50341,51,Delhivery,2024-10-11,2024-10-16,2024-10-16,Delivered
150342,50342,6,Ecom Express,2024-07-16,2024-07-21,2024-07-22,Delivered
150343,50343,38,BlueDart,2025-04-13,2025-04-19,2025-04-18,Delivered
150344,50344,95,DTDC,2024-12-25,2024-12-31,2025-01-02,Delivered
150345,50345,29,Ecom Express,2025-06-10,2025-06-13,,In Transit
150346,50346,12,XpressBees,2024-07-10,2024-07-16,,Delayed
150347,50347,44,DTDC,2025-05-11,2025-05-11,2025-05-14,Delivered
150348,50348,76,XpressBees,2024-03-28,2024-04-03,2024-04-02,Delivered
150349,50349,97,DTDC,2024-02-12,2024-02-13,,Delayed
150350,50350,25,Delhivery,2024-05-15,2024-05-18,2024-05-19,Delivered
150351,50351,71,BlueDart,2024-09-17,2024-09-20,2024-09-19,Delivered
150352,50352,86,DTDC,2026-02-05,2026-02-12,2026-02-14,Delivered
150353,50353,43,Ecom Express,2024-11-16,2024-11-24,2024-11-27,Delivered
150354,50354,29,XpressBees,2025-05-19,2025-05-23,,Delayed
150355,50355,17,XpressBees,2025-10-22,2025-10-22,,In Transit
150356,50356,38,Ecom Express,2025-12-26,2025-12-28,2025-12-27,Delivered
150357,50357,95,XpressBees,2025-07-22,2025-07-26,2025-07-28,Delivered
150358,50358,79,BlueDart,2024-06-21,2024-06-28,2024-06-29,Delivered
150359,50359,86,XpressBees,2025-10-05,2025-10-12,2025-10-11,Delivered
