order_id,customer_id,order_date,order_status,sales_channel,coupon_code
50109,12779,2025-09-17,Delivered,Mobile App,BIG20
50110,10420,2024-11-05,Delivered,Website,BIG20
50111,14680,2026-03-18,Delivered,Website,NONE
50112,13070,2024-09-06,Delivered,Marketplace,WELCOME5
50113,13334,2024-04-21,Delivered,Marketplace,SAVE10
50114,10481,2025-02-18,Delivered,Marketplace,NONE
50115,12349,2024-07-04,Shipped,Marketplace,FEST15
50116,12295,2025-10-30,Delivered,Website,NONE
50117,14074,2025-05-23,Delivered,Mobile App,SAVE10
50118,11914,2024-05-24,Shipped,Website,WELCOME5
50119,11716,2024-11-22,Delivered,Website,NONE
50120,13404,2026-04-19,Delivered,Website,SAVE10
50121,10078,2026-03-05,Delivered,Mobile App,FEST15
50122,13728,2025-09-13,Delivered,Website,FEST15
50123,10037,2026-05-25,Delivered,Website,SAVE10
50124,11191,2024-04-14,Processing,Marketplace,NONE
50125,12488,2025-12-11,Delivered,Website,WELCOME5
50126,10969,2024-01-23,Processing,Mobile App,SAVE10
50127,10177,2025-08-04,Delivered,Mobile App,NONE
50128,12098,2024-02-19,Delivered,Website,WELCOME5
50129,13536,2024-11-27,Delivered,Website,NONE
50130,11210,2024-03-28,Delivered,Website,NONE
50131,11371,2024-09-03,Cancelled,Mobile App,NONE
50132,13384,2025-09-16,Delivered,Mobile App,WELCOME5
50133,14739,2026-01-28,Processing,Website,FEST15
50134,12589,2026-07-01,Delivered,Mobile App,NONE
50135,12795,2026-08-16,Cancelled,Website,FEST15
50136,14135,2024-05-09,Delivered,Mobile App,WELCOME5
50137,10331,2026-06-10,Delivered,Mobile App,FEST15
50138,14907,2024-10-02,Processing,Mobile App,BIG20
50139,12380,2026-05-07,Delivered,Website,BIG20
50140,11891,2026-04-19,Shipped,Mobile App,SAVE10
50141,13090,2026-06-10,Delivered,Website,SAVE10
50142,14560,2025-05-05,Delivered,Website,BIG20
50143,14686,2025-12-28,Delivered,Website,WELCOME5
50144,13886,2025-02-18,Delivered,Website,NONE
50145,12419,2024-03-16,Delivered,Website,NONE
50146,10746,2025-04-04,Shipped,Marketplace,NONE
50147,10952,2024-07-14,Delivered,Website,NONE
50148,14180,2024-04-08,Processing,Marketplace,NONE
50149,10626,2024-05-09,Delivered,Website,FEST15
50150,12408,2024-08-01,Delivered,Mobile App,NONE
50151,12039,2026-02-11,Delivered,Website,NONE
50152,13546,2026-07-22,Cancelled,Marketplace,NONE
50153,11717,2026-04-04,Delivered,Website,NONE
50154,13514,2025-09-16,Processing,Website,NONE
50155,12541,2026-05-05,Delivered,Website,SAVE10
50156,14430,2024-10-04,Delivered,Mobile App,BIG20
50157,10935,2026-05-31,Shipped,Marketplace,WELCOME5
50158,13806,2026-07-07,Delivered,Mobile App,NONE
50159,13609,2024-05-24,Delivered,Mobile App,SAVE10
50160,14124,2025-01-20,Delivered,Marketplace,NONE
50161,12452,2024-09-29,Delivered,Mobile App,NONE
50162,11605,2024-05-16,Shipped,Website,NONE
50163,12586,2024-06-16,Delivered,Website,NONE
50164,14866,2026-07-25,Delivered,Mobile App,NONE
50165,10975,2024-06-25,Delivered,Mobile App,SAVE10
50166,13308,2025-10-07,Delivered,Mobile App,SAVE10
50167,11122,2026-04-26,Shipped,Website,NONE
50168,13869,2025-12-31,Delivered,Website,NONE
50169,12118,2025-03-15,Cancelled,Website,FEST15
50170,14295,2024-01-22,Delivered,Marketplace,SAVE10
50171,10818,2025-02-09,Delivered,Website,NONE
50172,10619,2024-10-01,Delivered,Marketplace,SAVE10
50173,14754,2026-04-18,Processing,Website,WELCOME5
50174,11683,2026-07-06,Delivered,Mobile App,NONE
50175,10425,2024-08-13,Delivered,Mobile App,NONE
50176,14180,2024-05-30,Delivered,Mobile App,NONE
50177,12071,2026-03-06,Cancelled,Mobile App,SAVE10
50178,14610,2026-04-27,Delivered,Mobile App,NONE
50179,12190,2026-08-11,Delivered,Website,FEST15
50180,13781,2026-01-17,Delivered,Website,NONE
50181,12894,2025-03-25,Delivered,Mobile App,NONE
50182,12412,2025-01-02,Delivered,Website,NONE
50183,12430,2024-02-28,Delivered,Mobile App,NONE
50184,11256,2026-05-10,Delivered,Mobile App,NONE
50185,13684,2026-08-21,Delivered,Website,BIG20
50186,12626,2026-06-14,Delivered,Website,FEST15
50187,10008,2025-07-10,Delivered,Website,NONE
50188,11987,2026-04-20,Shipped,Website,NONE
50189,12030,2024-01-03,Delivered,Website,FEST15
50190,14429,2025-01-30,Delivered,Website,BIG20
50191,12135,2024-04-14,Delivered,Website,NONE
50192,12837,2025-07-23,Delivered,Website,NONE
50193,10415,2024-01-03,Delivered,Website,WELCOME5
50194,11961,2024-10-23,Delivered,Website,NONE
50195,11421,2025-02-10,Delivered,Marketplace,WELCOME5
50196,12493,2024-05-06,Processing,Mobile App,NONE
50197,14493,2024-03-24,Processing,Website,WELCOME5
50198,14668,2026-05-25,Delivered,Mobile App,NONE
50199,11435,2024-09-21,Delivered,Mobile App,FEST15
50200,13067,2026-08-09,Delivered,Mobile App,NONE
50201,14772,2024-12-25,Delivered,Mobile App,FEST15
50202,11145,2024-02-26,Delivered,Marketplace,NONE
50203,12192,2024-04-10,Delivered,Marketplace,SAVE10
50204,12501,2025-10-29,Delivered,Website,NONE
50205,10017,2024-01-13,Delivered,Mobile App,NONE
50206,12329,2026-09-07,Processing,Website,NONE
50207,10607,2024-09-04,Delivered,Website,BIG20
50208,11553,2025-08-12,Delivered, marketplace,FEST15
50209,10578,2025-03-06,Delivered,Marketplace,NONE
50210,13682,2024-02-15,Delivered,Mobile App,BIG20
50211,14174,2025-11-12,Delivered,Website,FEST15
50212,11342,2024-01-15,Delivered,Website,NONE
50213,10202,2026-02-11,Delivered,Website,BIG20
50214,12463,2025-05-03,Delivered,Mobile App,NONE
50215,10574,2024-10-20,Delivered,Website,NONE
50216,12206,2026-06-30,Delivered,Mobile App,NONE
50217,12720,2024-07-16,Processing,Marketplace,BIG20
50218,12335,2024-09-27,Delivered,Website,NONE
50219,12611,2025-09-18,Delivered,Marketplace,SAVE10
50220,12834,2024-12-05,Delivered,Website,SAVE10
50221,10818,2025-04-17,Delivered,Website,FEST15
50222,13417,2026-02-11,Delivered,Website,NONE
50223,13343,2026-06-05,Cancelled,Website,NONE
50224,10715,2026-02-16,Delivered,Mobile App,NONE
50225,12170,2024-03-19,Processing,Mobile App,NONE
50226,11442,2026-07-04,Delivered,Mobile App,NONE
50227,11987,2025-02-12,Delivered,Website,NONE
50228,13865,2026-03-24,Delivered,Mobile App,NONE
50229,12983,2024-10-04,Delivered,Mobile App,NONE
50230,14539,2025-07-30,Delivered,Website,NONE
50231,12846,2026-07-24,Delivered,Website,NONE
50232,10224,2026-06-29,Delivered,Mobile App,SAVE10
50233,13557,2025-09-26,Delivered,Marketplace,WELCOME5
50234,10367,2025-08-18,Cancelled,Mobile App,NONE
50235,11710,2024-01-29,Delivered,Marketplace,NONE
50236,14670,2025-08-06,Delivered,Website,NONE
50237,14949,2025-02-11,Delivered,Mobile App,NONE
50238,10740,2024-01-16,Delivered,Website,NONE
50239,14926,2026-07-05,Delivered,Website,NONE
50240,14897,2025-03-17,Processing,Website,NONE
50241,14392,2026-01-16,Delivered,Mobile App,BIG20
50242,14142,2024-02-11,Delivered,Mobile App,NONE
50243,10376,2024-08-25,Delivered,Mobile App,NONE
50244,10604,2026-05-21,Delivered,Mobile App,
50245,13069,2026-06-27,Delivered,Website,BIG20
50246,10513,2024-01-11,Delivered,Website,FEST15
50247,11255,2026-05-15,Delivered,Website,NONE
50248,14887,2024-10-24,Delivered,Website,NONE
50249,14553,2024-07-28,Delivered,Website,FEST15
50250,11275,2026-08-23,Delivered,Marketplace,SAVE10
50251,12694,2025-06-02,Delivered,Marketplace,SAVE10
50252,12694,2026-02-10,Delivered, marketplace,NONE
50253,11314,2024-05-13,Delivered,Website,WELCOME5
50254,11182,2026-01-04,Delivered,Mobile App,SAVE10
50255,12186,2024-12-21,Delivered,Marketplace,FEST15
50256,13004,2025-11-22,Delivered,Website,NONE
50257,14022,2025-09-28,Delivered,Website,NONE
50258,14201,2024-02-19,Delivered,Website,NONE
50259,10103,2026-04-28,Delivered,Mobile App,NONE
50260,13285,2024-10-06,Delivered,Mobile App,NONE
50261,13081,2024-12-19,Delivered,Marketplace,SAVE10
50262,10234,2026-02-13,Cancelled,Website,SAVE10
50263,14174,2026-04-30,Delivered,Website,NONE
50264,12976,2026-05-18,Delivered,Mobile App,SAVE10
50265,13595,2025-03-17,Delivered,Website,BIG20
50266,13306,2024-12-05,Delivered,Marketplace,NONE
50267,11672,2026-03-05,Delivered,Mobile App,SAVE10
50268,11005,2024-09-08,Delivered,Mobile App,FEST15
50269,11890,2025-09-15,Shipped,Website,NONE
50270,13811,2024-08-16,Processing,Mobile App,NONE
50271,13184,2024-07-22,Cancelled,Marketplace,NONE
50272,13135,2025-06-15,Delivered,Mobile App,FEST15
50273,10652,2026-04-19,Processing,Mobile App,WELCOME5
50274,10048,2024-10-09,Delivered,Mobile App,SAVE10
50275,13340,2025-12-05,Delivered,Mobile App,SAVE10
50276,14753,2024-01-21,Processing,Website,WELCOME5
50277,11794,2025-11-08,Cancelled,Marketplace,NONE
50278,12228,2025-01-14,Delivered,Website,NONE
50279,14790,2024-03-13,Shipped,Website,NONE
50280,11162,2025-06-21,Shipped,Marketplace,NONE
50281,12610,2024-08-20,Delivered,Mobile App,NONE
50282,10431,2025-09-07,Delivered,Mobile App,NONE
50283,11319,2024-02-11,Delivered,Website,SAVE10
50284,11873,2024-11-28,Cancelled,Mobile App,WELCOME5
50285,13428,2024-08-16,Delivered,Mobile App,SAVE10
50286,11539,2024-10-31,Delivered,Mobile App,BIG20
50287,12303,2024-01-08,Delivered,Website,WELCOME5
50288,11490,2024-10-02,Delivered,Website,SAVE10
50289,10706,2024-03-26,Delivered,Website,NONE
50290,13967,2025-08-27,Delivered,Website,NONE
50291,13365,2025-03-21,Processing,Website,NONE
50292,13230,2024-10-02,Delivered,Mobile App,NONE
50293,12915,2025-08-20,Cancelled,Website,NONE
50294,10666,2026-06-08,Shipped,Website,BIG20
50295,12577,2025-06-09,Delivered,Marketplace,BIG20
50296,13541,2024-09-30,Delivered,Mobile App,FEST15
50297,12473,2025-01-26,Delivered,Mobile App,SAVE10
50298,13618,2026-02-06,Cancelled,Mobile App,WELCOME5
50299,11646,2024-04-06,Delivered,Website,BIG20
50300,12572,2024-11-06,Shipped,Mobile App,WELCOME5
50301,11904,2025-03-31,Cancelled,Marketplace,SAVE10
50302,14979,2025-09-07,Delivered,Website,NONE
50303,10896,2025-07-13,Processing,Mobile App,NONE
50304,11418,2025-11-09,Shipped,Mobile App,NONE
50305,13406,2026-06-30,Delivered,Website,NONE
50306,10293,2024-06-18,Processing,Website,NONE
50307,12564,2025-04-10,Delivered,Website,FEST15
50308,10145,2025-01-03,Delivered,Marketplace,SAVE10
50309,12640,2024-03-26,Delivered,Marketplace,NONE
50310,11603,2024-05-03,Delivered,Website,NONE
50311,10950,2025-09-01,Shipped,Website,NONE
50312,12490,2025-05-10,Delivered,Marketplace,NONE
50313,11656,2024-10-11,Delivered,Mobile App,NONE
50314,10392,2026-06-01,Delivered,Mobile App,NONE
50315,12664,2024-10-28,Delivered,Website,SAVE10
50316,12829,2025-08-01,Delivered,Website,NONE
50317,13310,2026-08-16,Shipped,Website,NONE
50318,14505,2025-11-11,Delivered,Mobile App,NONE
50319,13513,2025-12-07,Delivered,Marketplace,FEST15
50320,13985,2024-10-01,Delivered,Mobile App,FEST15
50321,13241,2026-06-06,Processing,Website,NONE
50322,13363,2025-03-30,Delivered,Website,BIG20
50323,13967,2024-10-19,Delivered,Marketplace,NONE
50324,13309,2025-12-19,Delivered,Mobile App,SAVE10
50325,12512,2025-05-29,Delivered,Website,NONE
50326,13652,2024-05-07,Delivered,Website,BIG20
50327,14827,2024-01-20,Delivered,Mobile App,NONE
50328,12472,2024-04-28,Delivered,Website,NONE
50329,11131,2024-06-03,Delivered,Website,SAVE10
50330,12009,2024-08-05,Delivered,Mobile App,SAVE10
50331,10072,2024-12-01,Delivered,Mobile App,WELCOME5
50332,11534,2024-08-17,Delivered,Website,NONE
50333,14436,2026-05-26,Delivered,Website,NONE
50334,10499,2026-07-22,Delivered,Website,NONE
50335,14441,2026-08-01,Delivered,Website,FEST15
50336,12811,2024-06-02,Delivered,Website,NONE
50337,11593,2025-06-01,Delivered,Mobile App,WELCOME5
50338,12363,2024-04-12,Delivered,Website,NONE
50339,14393,2025-11-18,Delivered,Mobile App,NONE
50340,10595,2024-05-13,Shipped,Mobile App,FEST15
50341,12829,2024-10-08,Delivered,Marketplace,NONE
50342,11342,2024-07-15,Delivered,Mobile App,SAVE10
50343,12706,2025-04-11,Processing,Mobile App,BIG20
50344,13937,2024-12-23,Delivered,Marketplace,NONE
50345,14607,2025-06-08,Delivered,Website,NONE
50346,11279,2024-07-10,Delivered,Website,SAVE10
50347,13319,2025-05-08,Shipped,Website,BIG20
50348,12129,2024-03-26,Delivered,Mobile App,NONE
50349,12514,2024-02-09,Delivered,Website,NONE
50350,10807,2024-05-12,Processing,Website,NONE
50351,14284,2024-09-15,Processing,Website,NONE
50352,10850,2026-02-04,Shipped,Website,NONE
50353,10200,2024-11-16,Delivered,Website,NONE
50354,13782,2025-05-19,Delivered,Marketplace,FEST15
50355,12028,2025-10-19,Delivered,Website,FEST15
50356,10334,2025-12-24,Delivered,Website,NONE
50357,13405,2025-07-20,Delivered,Marketplace,NONE
50358,11426,2024-06-20,Shipped,Mobile App,SAVE10
50359,14881,2025-10-05,Delivered,Marketplace,BIG20
50360,14905,2024-10-23,Delivered,Marketplace,FEST15
50361,12752,2025-07-27,Delivered,Website,NONE
50362,12380,2026-08-10,Delivered,Website,WELCOME5
50363,12225,2024-03-11,Shipped,Mobile App,BIG20
50364,13032,2024-03-24,Delivered,Website,FEST15
50365,14546,2024-08-30,Shipped,Website,WELCOME5
50366,13204,2025-03-01,Delivered,Mobile App,BIG20
50367,10497,2025-04-09,Delivered,Website,SAVE10
50368,10981,2024-10-13,Delivered,Website,NONE
50369,13148,2026-05-23,Delivered,Mobile App,FEST15
50370,11847,2024-01-08,Cancelled,Website,NONE
50371,12397,2025-06-12,Delivered,Website,NONE
50372,12004,2025-06-19,Delivered,Mobile App,NONE
50373,12980,2026-01-16,Cancelled,Website,WELCOME5
50374,11154,2025-06-17,Delivered,Marketplace,NONE
50375,10369,2024-05-11,Delivered,Website,SAVE10
50376,11170,2024-11-06,Processing,Website,WELCOME5
50377,13340,2024-06-16,Shipped,Marketplace,NONE
50378,13040,2025-04-03,Delivered,Website,SAVE10
50379,14046,2026-06-06,Delivered,Marketplace,SAVE10
50380,10543,2025-01-15,Delivered,Mobile App,SAVE10
50381,10708,2024-12-19,Shipped,Website,WELCOME5
50382,10646,2025-03-26,Delivered,Mobile App,NONE
50383,12814,2024-06-10,Shipped,Website,NONE
50384,12867,2026-04-02,Shipped,Marketplace,SAVE10
50385,10797,2025-10-07,Processing,Marketplace,NONE
50386,12247,2025-11-23,Delivered,Website,BIG20
50387,10258,2024-12-05,Delivered,Marketplace,FEST15
50388,13060,2024-09-28,Delivered,Website,NONE
50389,12850,2025-04-04,Delivered,Mobile App,NONE
50390,10135,2024-08-20,Delivered,Website,NONE
50391,10443,2024-01-21,Delivered,Website,WELCOME5
50392,13525,2025-12-04,Delivered,Website,NONE
50393,14496,2026-04-14,Delivered,Website,NONE
50394,14250,2024-08-05,Delivered,Website,NONE
50395,12836,2025-08-31,Delivered,Mobile App,NONE
50396,12621,2026-05-30,Delivered,Marketplace,FEST15
50397,14043,2025-12-18,Delivered,Mobile App,NONE
50398,14205,2026-03-18,Delivered,Website,NONE
50399,14533,2026-05-14,Delivered,Website,WELCOME5
50400,11999,2024-09-01,Delivered,Marketplace,NONE
50401,12381,2024-03-12,Delivered,Mobile App,NONE
50402,10395,2026-02-16,Delivered,Website,NONE
50403,10876,2026-02-06,Shipped,Website,SAVE10
50404,11888,2024-07-04,Cancelled,Marketplace,WELCOME5
50405,14048,2026-05-26,Delivered,Website,NONE
50406,12232,2024-01-25,Delivered,Website,BIG20
50407,12937,2024-12-31,Shipped,Marketplace,NONE
50408,14328,2026-07-21,Delivered,Mobile App,WELCOME5
50409,12379,2024-12-08,Delivered,Marketplace,NONE
50410,11674,2026-01-08,Delivered,Website,NONE
50411,13652,2024-02-06,Processing,Marketplace,SAVE10
50412,11576,2025-04-19,Delivered,Marketplace,NONE
50413,11942,2026-01-28,Delivered,Mobile App,NONE
50414,14441,2026-03-28,Shipped,Marketplace,NONE
50415,12187,2025-02-27,Delivered,Website,NONE
50416,11255,2024-03-14,Processing,Mobile App,NONE
50417,14174,2025-05-31,Cancelled,Mobile App,BIG20
50418,13213,2025-12-18,Delivered,Mobile App,NONE
50419,13839,2025-03-13,Delivered,Mobile App,NONE
50420,11634,2026-07-16,Delivered,Marketplace,SAVE10
50421,13910,2024-10-31,Delivered,Website,NONE
50422,14758,2026-03-05,Delivered,Mobile App,SAVE10
50423,10818,2026-01-02,Delivered,Website,NONE
50424,10949,2025-02-22,Delivered,Mobile App,NONE
50425,12821,2024-04-04,Delivered,Mobile App,SAVE10
50426,13620,2024-12-01,Delivered,Marketplace,SAVE10
50427,10003,2026-01-14,Processing,Marketplace,NONE
50428,12751,2026-05-15,Delivered,Mobile App,NONE
50429,10637,2025-03-19,Delivered,Website,SAVE10
50430,14894,2024-10-09,Delivered,Mobile App,NONE
50431,13633,2026-01-12,Delivered,Mobile App,NONE
50432,14971,2026-06-28,Delivered,Website,NONE
50433,11091,2024-05-18,Delivered,Website,NONE
50434,13969,2024-11-06,Delivered,Marketplace,NONE
50435,11911,2026-02-09,Delivered,Website,NONE
50436,10518,2024-05-01,Cancelled,Marketplace,NONE
50437,12401,2026-08-02,Cancelled,Website,NONE
50438,12346,2024-08-16,Delivered,Marketplace,NONE
50439,12502,2025-04-16,Delivered,Mobile App,FEST15
50440,14273,2025-05-18,Delivered,Mobile App,BIG20
50441,11398,2024-12-29,Delivered,Mobile App,BIG20
50442,13193,2024-05-07,Delivered,Mobile App,SAVE10
50443,10997,2024-01-30,Delivered,Mobile App,NONE
50444,14395,2025-01-03,Delivered,Website,FEST15
50445,12291,2024-09-18,Cancelled,Website,NONE
50446,13997,2026-05-28,Delivered,Marketplace,NONE
50447,11345,2025-10-06,Delivered,Marketplace,NONE
50448,11565,2024-04-01,Shipped,Marketplace,NONE
50449,14915,2026-01-02,Delivered,Mobile App,NONE
50450,10976,2025-08-19,Delivered,Mobile App,FEST15
50451,12807,2024-05-01,Shipped,Marketplace,NONE
50452,11613,2025-01-26,Delivered,Mobile App,NONE
50453,11951,2025-12-16,Delivered,Website,NONE
50454,13480,2025-09-20,Delivered,Mobile App,NONE
50455,13910,2025-07-10,Delivered,Website,SAVE10
50456,12406,2025-04-19,Delivered,Website,NONE
50457,13191,2025-10-31,Shipped,Mobile App,NONE
50458,10220,2026-04-30,Shipped,Marketplace,SAVE10
50459,11170,2024-06-15,Delivered,Website,NONE
50460,13713,2025-01-25,Delivered,Mobile App,NONE
50461,13330,2026-04-03,Cancelled,Website,WELCOME5
50462,10224,2025-05-08,Processing,Mobile App,NONE
50463,14456,2024-06-19,Delivered,Mobile App,WELCOME5
50464,12047,2024-05-06,Processing,Mobile App,BIG20
50465,11519,2025-12-06,Processing,Website,WELCOME5
50466,12312,2025-04-20,Delivered,Website,NONE
50467,11975,2026-02-05,Delivered,Mobile App,FEST15
50468,12516,2024-04-21,Processing,Mobile App,NONE
50469,10821,2025-08-11,Delivered,Website,NONE
50470,10696,2025-07-19,Delivered,Website,NONE
50471,14949,2025-03-21,Cancelled,Mobile App,NONE
50472,13739,2025-02-18,Shipped,Website,FEST15
50473,11807,2024-09-20,Delivered,Website,NONE
50474,14247,2026-01-29,Delivered,Website,NONE
50475,13978,2024-11-17,Processing,Marketplace,FEST15
50476,13490,2025-02-09,Delivered,Marketplace,NONE
50477,13607,2026-04-13,Delivered,Website,NONE
50478,14756,2025-09-03,Shipped,Mobile App,SAVE10
50479,14171,2024-02-07,Shipped,Website,FEST15
50480,11288,2024-02-27,Delivered,Mobile App,NONE
50481,13634,2025-06-05,Delivered,Website,NONE
50482,10804,2025-11-19,Shipped,Website,NONE
50483,12514,2025-04-02,Delivered,Mobile App,NONE
50484,10337,2026-07-17,Delivered,Website,FEST15
50485,10848,2026-04-05,Processing,Website,SAVE10
50486,13608,2025-03-10,Shipped,Mobile App,NONE
50487,11859,2024-08-16,Delivered,Website,FEST15
50488,10811,2024-01-10,Delivered,Marketplace,NONE
50489,14897,2024-02-02,Delivered,Website,NONE
50490,14691,2025-08-08,Delivered,Website,WELCOME5
50491,11147,2024-11-20,Cancelled,Website,NONE
50492,12992,2024-05-20,Delivered,Website,NONE
50493,11470,2024-03-12,Delivered,Mobile App,NONE
50494,14021,2025-03-29,Delivered,Mobile App,NONE
50495,13440,2025-07-21,Delivered,Mobile App,NONE
50496,12174,2024-02-01,Delivered,Website,WELCOME5
50497,14655,2025-02-10,Delivered,Marketplace,FEST15
50498,13675,2025-03-05,Delivered,Website,NONE
50499,10757,2024-02-24,Shipped,Website,FEST15
50500,12219,2026-04-28,Shipped,Marketplace,NONE
50501,14149,2024-08-11,Delivered,Website,NONE
50502,12694,2024-05-11,Delivered,Marketplace,WELCOME5
50503,10500,2024-05-09,Delivered,Mobile App,NONE
50504,13868,2025-04-28,Delivered,Website,WELCOME5
50505,12406,2025-11-18,Processing,Mobile App,NONE
50506,11191,2024-09-03,Shipped,Marketplace,WELCOME5
50507,14078,2026-01-12,Delivered,Mobile App,NONE
50508,14423,2024-09-10,Delivered,Website,NONE
50509,12938,2024-06-30,Delivered,Mobile App,SAVE10
50510,13582,2025-09-16,Delivered,Website,NONE
