return_id,order_item_id,return_date,return_reason,return_status,refund_amount_inr
180161,111274,2026-05-30,Wrong Item,Approved,1775.02
180162,93167,2024-12-04,Wrong Item,Approved,781.04
180163,100618,2024-08-09,Size Issue,Refunded,4008.46
180164,100116,2026-06-01,Changed Mind,Approved,800.72
180165,117906,2024-03-12,Quality Issue,Approved,1628.43
180166,110581,2025-12-08,Size Issue,Approved,1288.05
180167,104821,2024-10-24,Size Issue,Approved,1675.49
180168,98889,2026-04-30,Changed Mind,Refunded,1905.53
180169,97415,2024-03-19,Size Issue,Approved,399.45
180170,118392,2025-10-04,Quality Issue,Refunded,1136.91
180171,99769,2024-10-19,Wrong Item,Refunded,1109.28
180172,95109,2024-09-30,Wrong Item,Refunded,1123.33
180173,100009,2025-02-16,Size Issue,Refunded,2129.86
180174,105663,2025-05-23,Damaged,Approved,687.85
180175,91231,2024-09-12,Changed Mind,Approved,817.94
180176,100126,2025-06-13,Changed Mind,Approved,1865.15
180177,98579,2025-03-23,Wrong Item,Approved,7414.81
180178,91627,2025-07-21,Quality Issue,Refunded,1172.63
180179,113482,2025-12-29,Size Issue,Refunded,898.07
180180,110741,2024-10-19,Damaged,Approved,699.07
180181,98389,2024-10-13,Damaged,Refunded,1810.19
180182,110439,2024-02-29,Quality Issue,Approved,532.54
180183,112278,2024-12-17,Size Issue,Refunded,702.85
180184,96321,2026-08-08,Quality Issue,Approved,948.96
180185,112479,2024-02-15,Damaged,Rejected,368.39
180186,93501,2026-07-17,Size Issue,Refunded,2007.43
180187,115425,2024-07-15,Size Issue,Approved,2105.05
180188,111386,2025-09-26,Size Issue,Approved,1141.16
180189,109735,2026-06-24,Wrong Item,Refunded,2919.08
180190,112341,2026-06-24,Wrong Item,Approved,1175.89
180191,103234,2025-10-09,Damaged,Refunded,792.82
180192,91662,2025-04-28,Changed Mind,Approved,849.62
180193,98132,2025-01-19,Quality Issue,Refunded,5570.44
180194,116899,2026-05-07,Size Issue,Refunded,1187.33
180195,100931,2025-05-23,Changed Mind,Refunded,2276.48
180196,101373,2025-12-24,Size Issue,Approved,3842.33
180197,111146,2026-04-21,Quality Issue,Approved,981.33
180198,105993,2025-12-20,Size Issue,Approved,1403.09
180199,112482,2025-06-23,Size Issue,Approved,748.78
180200,107976,2026-02-01,Size Issue,Approved,3513.6
180201,92800,2024-06-05,Size Issue,Refunded,2760.14
180202,100774,2024-11-10,Changed Mind,Approved,6754.86
180203,106772,2025-08-02,Quality Issue,Refunded,896.12
180204,106321,2025-08-19,Quality Issue,Approved,341.7
180205,92764,2025-07-29,Wrong Item,Refunded,1483.39
180206,114081,2025-07-26,Damaged,Refunded,739.65
180207,98810,2026-03-14,Damaged,Approved,579.35
180208,102423,2025-03-23,Damaged,Refunded,614.71
180209,94143,2026-05-27,Changed Mind,Refunded,1995.07
180210,98891,2024-06-02,Changed Mind,Approved,775.38
180211,116447,2026-07-27,Size Issue,Refunded,531.69
180212,93932,2025-04-11,Quality Issue,Approved,1245.38
180213,104117,2025-08-02,Size Issue,Refunded,1500.53
180214,105399,2025-05-16,Changed Mind,Refunded,1321.73
180215,113783,2024-11-11,Size Issue,Refunded,1239.66
180216,108191,2025-09-15,Changed Mind,Refunded,2454.65
180217,106683,2026-06-02,Quality Issue,Approved,4970.95
180218,112152,2024-03-18,Size Issue,Refunded,1482.91
180219,108690,2025-07-04,Damaged,Refunded,424.45
180220,120571,2025-09-20,Changed Mind,Refunded,740.21
180221,106250,2026-03-30,Wrong Item,Rejected,695.91
180222,116215,2025-12-29,Quality Issue,Approved,5631.24
180223,115979,2026-03-15,Size Issue,Refunded,441.9
180224,94319,2024-12-20,Size Issue,Approved,2439.43
180225,101997,2026-01-25,Size Issue,Refunded,867.7
180226,108011,2024-03-23,Quality Issue,Approved,6380.03
180227,103901,2024-01-22,Size Issue,Approved,499.41
180228,114376,2026-06-09,Size Issue,Approved,980.39
180229,106745,2026-03-21,Damaged,Rejected,4297.05
180230,98067,2025-07-09,Quality Issue,Approved,803.45
180231,110193,2026-05-13,Quality Issue,Refunded,1173.92
180232,111244,2026-07-27,Wrong Item,Rejected,2685.62
180233,116735,2025-05-31,Quality Issue,Refunded,435.05
180234,94094,2024-07-05,Changed Mind,Approved,1033.62
180235,113218,2024-04-17,Wrong Item,Refunded,898.57
180236,95022,2025-04-09,Changed Mind,Refunded,653.7
180237,110098,2024-07-18,Changed Mind,Approved,825.49
180238,111172,2024-10-23,Wrong Item,Refunded,978.92
180239,120836,2024-03-23,Quality Issue,Approved,1991.76
180240,114546,2026-02-15,Size Issue,Refunded,724.26
180241,106546,2024-10-17,Damaged,Refunded,1077.33
180242,100800,2024-08-27,Damaged,Approved,9055.35
180243,99495,2026-03-29,Size Issue,Approved,4876.47
180244,97986,2026-04-07,Damaged,Approved,1334.01
180245,118211,2025-06-15,Changed Mind,Refunded,5653.86
180246,118755,2024-11-22,Quality Issue,Refunded,381.8
180247,119230,2026-01-21,Quality Issue,Approved,1117.51
180248,120074,2026-08-28,Damaged,Rejected,2020.19
180249,106476,2026-08-31,Damaged,Refunded,1837.86
180250,105044,2025-03-10,Changed Mind,Approved,1172.01
180251,91543,2025-01-16,Changed Mind,Refunded,1985.81
180252,113505,2025-05-14,Size Issue,Approved,4393.48
180253,93082,2026-06-01,Quality Issue,Refunded,1228.62
180254,94406,2025-10-10,Size Issue,Rejected,941.26
180255,95419,2024-09-18,Size Issue,Refunded,435.75
180256,111177,2026-03-23,Changed Mind,Refunded,1277.71
180257,102101,2024-05-08,Quality Issue,Refunded,3445.63
180258,109089,2024-01-27,Changed Mind,Rejected,2249.53
180259,93931,2025-04-13,Changed Mind,Approved,3067.24
180260,93593,2024-05-11,Quality Issue,Approved,1569.38
180261,113972,2026-02-25,Size Issue,Refunded,996.54
180262,116191,2024-05-22,Quality Issue,Refunded,1120.11
180263,120281,2025-09-28,Damaged,Refunded,2500.64
180264,113996,2024-04-08,Damaged,Refunded,770.34
180265,98010,2026-04-28,Quality Issue,Refunded,442.17
180266,117419,2025-03-05,Wrong Item,Approved,683.98
180267,112538,2025-02-09,Size Issue,Refunded,824.43
180268,120608,2025-06-05,Changed Mind,Refunded,7791.55
180269,110632,2025-07-31,Quality Issue,Refunded,2816.56
180270,112737,2024-04-02,Size Issue,Approved,242.31
180271,103373,2024-04-19,Quality Issue,Refunded,5765.36
180272,114247,2025-10-16,Changed Mind,Approved,1370.84
180273,112488,2025-08-10,Wrong Item,Refunded,2015.93
180274,94330,2024-05-26,Wrong Item,Refunded,817.45
180275,116282,2024-11-08,Changed Mind,Approved,931.72
180276,104956,2025-02-06,Size Issue,Refunded,4698.81
180277,98002,2025-02-11,Quality Issue,Refunded,393.85
180278,104616,2026-06-16,Damaged,Approved,565.44
180279,106154,2026-04-23,Damaged,Refunded,2266.77
180280,94875,2025-06-02,Quality Issue,Refunded,1454.72
180281,98928,2024-03-11,Wrong Item,Rejected,717.21
180282,113585,2025-12-09,Size Issue,Refunded,808.85
180283,90138,2024-01-12,Size Issue,Refunded,1889.78
180284,117192,2024-11-14,Changed Mind,Refunded,2380.69
180285,102917,2026-05-27,Changed Mind,Approved,2322.47
180286,106595,2024-08-26,Size Issue,Rejected,1975.52
180287,110867,2024-05-10,Wrong Item,Approved,1691.97
180288,100388,2024-10-02,Changed Mind,Refunded,584.25
180289,90775,2024-03-21,Changed Mind,Refunded,471.27
180290,113142,2024-05-29,Damaged,Rejected,395.62
180291,91670,2024-07-27,Size Issue,Approved,1218.94
180292,97847,2025-03-16,Changed Mind,Rejected,18833.96
180293,106208,2026-08-19,Quality Issue,Refunded,5500.86
180294,102025,2025-09-01,Quality Issue,Approved,656.46
180295,97855,2024-12-11,Damaged,Approved,1183.42
180296,99106,2025-05-24,Wrong Item,Approved,1463.98
180297,104488,2025-01-19,Wrong Item,Approved,1437.79
180298,92139,2024-12-11,Size Issue,Refunded,779.5
180299,92687,2024-05-31,Quality Issue,Refunded,1021.11
180300,103047,2026-01-23,Changed Mind,Refunded,348.76
180301,117096,2024-12-09,Quality Issue,Refunded,442.3
180302,119777,2025-03-08,Changed Mind,Approved,903.52
180303,114182,2025-03-13,Size Issue,Refunded,692.68
180304,108422,2024-11-27,Size Issue,Refunded,434.02
180305,120594,2024-03-29,Quality Issue,Approved,3269.58
180306,109960,2026-05-15,Changed Mind,Refunded,906.12
180307,90902,2024-11-24,Wrong Item,Approved,977.69
180308,99524,2024-06-27,Damaged,Refunded,7357.66
180309,104725,2025-01-29,Quality Issue,Approved,1202.1
180310,96199,2024-05-31,Damaged,Approved,6979.02
180311,108817,2025-12-10,Damaged,Approved,1186.89
180312,117018,2025-02-07,Size Issue,Approved,645.2
180313,105045,2026-07-17,Wrong Item,Approved,1216.84
180314,94649,2026-02-09,Size Issue,Refunded,720.74
180315,103935,2025-04-26,Changed Mind,Refunded,1850.59
180316,90913,2025-11-24,Damaged,Refunded,693.31
180317,111378,2025-01-29,Damaged,Refunded,5845.27
180318,102156,2025-01-27,Damaged,Refunded,4122.68
180319,91247,2024-06-10,Damaged,Approved,780.72
180320,107851,2025-10-07,Quality Issue,Approved,699.37
180321,114569,2025-07-11,Size Issue,Refunded,704.6
180322,120896,2025-02-06,Wrong Item,Refunded,1316.64
180323,101072,2026-04-04,Changed Mind,Approved,450.15
180324,97882,2025-03-30,Wrong Item,Approved,1920.6
180325,102588,2026-05-20,Quality Issue,Approved,3239.9
180326,103676,2025-08-03,Size Issue,Refunded,1372.65
180327,98730,2025-12-28,Quality Issue,Approved,1331.79
180328,94601,2025-03-11,Quality Issue,Approved,1922.94
180329,111617,2026-06-07,Quality Issue,Approved,3146.88
180330,108121,2024-05-26,Size Issue,Refunded,889.9
180331,103665,2026-07-08,Damaged,Approved,1451.87
180332,114696,2026-06-20,Wrong Item,Approved,6254.56
180333,111928,2024-08-29,Changed Mind,Approved,2091.87
180334,98149,2024-04-25,Size Issue,Approved,1113.5
180335,91359,2024-07-02,Changed Mind,Refunded,4698.48
180336,90705,2024-05-20,Damaged,Refunded,1332.33
180337,112787,2026-03-13,Quality Issue,Refunded,3455.15
180338,114855,2024-06-24,Changed Mind,Refunded,1340.86
180339,105723,2024-10-25,Size Issue,Approved,3224.42
180340,100807,2025-09-06,Quality Issue,Refunded,1457.63
180341,103915,2025-05-21,Size Issue,Refunded,2169.37
180342,119589,2026-02-05,Damaged,Refunded,2250.2
180343,96201,2026-01-09,Quality Issue,Refunded,2051.06
180344,117443,2024-10-25,Changed Mind,Approved,2140.89
180345,99248,2024-05-24,Changed Mind,Refunded,457.36
180346,108315,2024-10-24,Wrong Item,Approved,3726.95
180347,101181,2025-01-27,Size Issue,Approved,1407.58
180348,109849,2025-03-22,Changed Mind,Refunded,1583.03
180349,113235,2025-09-15,Quality Issue,Approved,608.39
180350,104563,2025-09-19,Size Issue,Refunded,704.69
180351,103239,2025-01-15,Damaged,Refunded,552.34
180352,103135,2024-03-28,Size Issue,Refunded,1992.4
180353,101310,2025-08-25,Quality Issue,Refunded,1146.5
180354,114234,2025-07-20,Size Issue,Refunded,4741.67
180355,107338,2024-05-21,Size Issue,Approved,1475.21
180356,101622,2026-08-05,Size Issue,Approved,1099.51
180357,118750,2026-03-21,Wrong Item,Approved,500.17
180358,114851,2025-04-12,Size Issue,Rejected,597.01
180359,98580,2025-02-02,Size Issue,Approved,2978.79
180360,92087,2025-08-09,Changed Mind,Approved,876.24
180361,105598,2024-03-09,Wrong Item,Rejected,714.87
180362,98527,2024-12-23,Wrong Item,Refunded,1303.19
180363,100292,2026-08-08,Size Issue,Approved,1282.92
180364,91249,2024-06-10,Quality Issue,Refunded,2094.44
180365,114440,2024-04-26,Wrong Item,Approved,1007.14
180366,103967,2025-12-18,Changed Mind,Approved,643.15
180367,115115,2025-06-20,Quality Issue,Refunded,968.03
180368,113324,2025-09-24,Damaged,Approved,1302.19
180369,118212,2025-07-04,Quality Issue,Refunded,1190.06
180370,103466,2026-04-10,Changed Mind,Rejected,1515.52
180371,107542,2024-05-22,Changed Mind,Refunded,3905.71
180372,95391,2024-03-15,Changed Mind,Approved,904.78
180373,91504,2024-08-11,Wrong Item,Refunded,498.77
180374,114676,2024-07-10,Damaged,Approved,3423.06
180375,90460,2024-04-28,Quality Issue,Refunded,2045.38
180376,91171,2024-05-29,Changed Mind,Approved,1526.97
180377,101659,2025-02-05,Wrong Item,Approved,1421.34
180378,105931,2024-07-11,Size Issue,Refunded,1218.28
180379,98874,2025-07-13,Quality Issue,Refunded,1926.42
180380,116926,2024-12-12,Damaged,Refunded,1019.94
180381,117591,2024-07-27,Changed Mind,Rejected,1705.36
180382,116697,2026-01-25,Quality Issue,Refunded,1981.17
180383,111598,2026-03-08,Quality Issue,Refunded,547.65
180384,107499,2024-06-27,Damaged,Refunded,2198.67
180385,105746,2024-11-26,Changed Mind,Refunded,2530.93
180386,104733,2025-01-14,Changed Mind,Approved,2588.37
180387,104096,2025-12-07,Size Issue,Rejected,496.18
180388,106182,2026-02-05,Size Issue,Refunded,704.89
180389,115906,2026-06-08,Quality Issue,Refunded,1054.69
180390,93459,2024-10-14,Damaged,Refunded,5598.28
180391,90274,2025-04-13,Damaged,Refunded,632.3
180392,101190,2025-07-31,Size Issue,Refunded,3897.45
180393,95082,2024-05-18,Changed Mind,Approved,1831.37
180394,114560,2024-11-27,Wrong Item,Approved,1067.51
180395,105027,2026-06-21,Damaged,Approved,3678.08
180396,107005,2024-12-14,Size Issue,Refunded,2443.24
180397,113037,2025-11-23,Quality Issue,Refunded,504.36
180398,105138,2025-09-24,Size Issue,Refunded,6265.42
180399,105400,2024-10-11,Quality Issue,Refunded,353.33
180400,112095,2025-03-21,Damaged,Refunded,468.13
180401,102088,2024-04-28,Quality Issue,Approved,2674.85
180402,95252,2024-09-29,Quality Issue,Refunded,1130.95
180403,116904,2026-03-21,Wrong Item,Refunded,622.76
180404,105893,2025-12-29,Changed Mind,Approved,1181.82
180405,98249,2024-06-01,Changed Mind,Refunded,3718.1
180406,98568,2025-08-17,Size Issue,Approved,5648.97
180407,112409,2025-07-05,Quality Issue,Refunded,1711.7
180408,112261,2025-12-20,Size Issue,Rejected,1569.78
180409,94173,2026-05-17,Quality Issue,Refunded,540.74
180410,107841,2025-07-24,Size Issue,Approved,602.86
180411,95416,2025-08-03,Wrong Item,Approved,1558.06
180412,96390,2025-10-15,Damaged,Approved,545.43
180413,96556,2025-05-31,Damaged,Approved,780.33
180414,102397,2026-09-10,Size Issue,Refunded,1647.55
180415,111492,2026-06-15,Size Issue,Approved,1051.75
180416,98633,2024-01-30,Quality Issue,Refunded,724.58
180417,106820,2026-06-06,Damaged,Approved,785.12
180418,113656,2025-05-12,Wrong Item,Refunded,1471.22
180419,117907,2024-11-25,Changed Mind,Refunded,3244.13
180420,101843,2026-01-30,Changed Mind,Approved,1079.39
180421,99668,2025-11-19,Wrong Item,Approved,928.03
180422,100874,2024-10-13,Size Issue,Refunded,740.27
180423,119679,2026-06-30,Damaged,Refunded,2175.62
180424,119577,2025-08-11,Size Issue,Refunded,596.56
180425,111977,2024-12-13,Quality Issue,Refunded,800.66
180426,98384,2024-11-17,Wrong Item,Approved,5750.53
180427,91875,2025-01-01,Size Issue,Approved,1520.31
180428,99985,2024-02-05,Size Issue,Approved,1245.34
180429,111020,2025-10-04,Size Issue,Approved,779.84
180430,106985,2025-11-22,Quality Issue,Refunded,1118.08
180431,93142,2025-11-08,Quality Issue,Refunded,4610.96
180432,104755,2026-08-29,Damaged,Approved,931.58
180433,117032,2024-04-13,Wrong Item,Rejected,4397.19
180434,115374,2026-02-07,Wrong Item,Approved,2818.97
180435,111662,2025-01-09,Quality Issue,Refunded,1325.0
180436,98345,2026-07-05,Damaged,Refunded,605.93
180437,104663,2024-09-22,Size Issue,Rejected,3503.0
180438,113893,2025-12-23,Changed Mind,Rejected,2227.75
180439,115707,2026-03-22,Damaged,Refunded,433.91
180440,110626,2024-09-24,Size Issue,Refunded,983.5
180441,115078,2025-02-02,Changed Mind,Refunded,2170.92
180442,115338,2025-05-03,Quality Issue,Approved,1867.31
180443,103528,2025-07-22,Size Issue,Rejected,795.14
180444,117759,2025-06-24,Quality Issue,Approved,2458.44
180445,95701,2024-10-30,Quality Issue,Approved,2055.64
180446,95960,2026-06-01,Changed Mind,Refunded,511.17
180447,101302,2024-10-23,Changed Mind,Refunded,940.88
180448,112926,2024-12-07,Changed Mind,Refunded,1366.58
180449,93678,2025-07-17,Size Issue,Approved,548.4
180450,100394,2024-09-11,Quality Issue,Approved,950.53
180451,92545,2025-11-01,Size Issue,Rejected,13555.39
180452,99116,2025-01-06,Damaged,Approved,841.8
180453,111576,2025-02-23,Quality Issue,Refunded,924.51
180454,110813,2026-02-20,Changed Mind,Refunded,1721.44
180455,100177,2026-08-14,Changed Mind,Approved,2232.79
180456,116659,2025-12-03,Quality Issue,Approved,2222.19
180457,107722,2025-08-07,Size Issue,Refunded,1189.62
180458,99980,2025-12-30,Changed Mind,Approved,1528.31
180459,91750,2025-04-27,Size Issue,Rejected,1816.22
180460,98009,2026-04-30,Damaged,Approved,206.34
180461,104916,2026-07-10,Size Issue,Refunded,630.2
180462,102528,2026-01-05,Damaged,Approved,1885.78
180463,102212,2026-03-29,Quality Issue,Refunded,909.02
180464,99306,2026-08-22,Size Issue,Refunded,432.56
180465,97397,2025-12-24,Quality Issue,Refunded,489.75
180466,102489,2025-07-19,Size Issue,Refunded,2046.23
180467,102313,2024-02-26,Wrong Item,Approved,1962.76
180468,90499,2025-04-23,Damaged,Refunded,2127.44
180469,111479,2025-03-18,Quality Issue,Refunded,2903.49
180470,94099,2026-06-09,Size Issue,Rejected,1174.27
180471,91622,2026-03-28,Size Issue,Approved,3027.58
180472,119398,2024-10-17,Size Issue,Approved,2013.01
180473,102294,2025-06-16,Wrong Item,Approved,1604.18
180474,112376,2026-07-15,Changed Mind,Refunded,1610.11
180475,114920,2025-11-27,Quality Issue,Refunded,590.18
180476,116121,2026-08-07,Changed Mind,Refunded,2141.42
180477,106526,2025-03-30,Damaged,Approved,1651.66
180478,112449,2026-04-24,Size Issue,Refunded,708.18
180479,95303,2026-07-10,Changed Mind,Approved,603.77
180480,107839,2024-12-16,Quality Issue,Rejected,748.31
180481,114832,2026-04-21,Changed Mind,Approved,898.2
180482,113624,2026-06-08,Damaged,Refunded,2325.19
180483,91311,2025-07-19,Size Issue,Approved,602.3
180484,110546,2026-02-14,Size Issue,Refunded,947.47
180485,109045,2025-05-29,Changed Mind,Refunded,1815.97
180486,112616,2024-03-01,Quality Issue,Refunded,2831.36
